date,PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Chl-a,salinity,T,SECCHI,NH4-N,NO2-N,NO3-N,PO4-P,SiO3-Si,O2,pH,Soca,lipophylic_toxins
August,0.0,10.0,?,?,0.0,5.0,5.0,0.0,0.0,224.5,24.804761904761904,3.3999999999999995,19.7,0.44,36.98,24.91,?,1.24000000953674,0.0500000007450581,1.01999998092651,0.209999993443489,0.449999988079071,238.929992675781,8.14000034332275,946.861,?
September,0.0,9.0,?,?,0.0,2.0,5.0,0.0,0.0,202.40000000000003,21.833333333333332,3.1380952380952385,113.6,0.46,36.13,26.39,12.0,1.12999999523163,0.0500000007450581,0.769999980926514,0.180000007152557,0.00999999977648258,220.169998168945,8.1899995803833,1113.509,neg
September,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,157.4,19.447619047619042,3.8095238095238093,99.6,0.47,36.45,26.6,11.0,1.14999997615814,0.0399999991059303,1.62999999523163,0.119999997317791,0.140000000596046,195.160003662109,8.17000007629395,2783.002,neg
November,32.0,4.0,?,?,0.0,0.0,0.0,0.0,0.0,58.59999999999998,11.514285714285714,2.557142857142857,92.6,1.39,36.55,17.7,9.0,0.629999995231628,0.159999996423721,2.47000002861023,0.140000000596046,1.69000005722046,246.520004272461,8.14999961853027,2361.747,?
November,0.0,2.0,?,?,0.0,2.0,0.0,0.0,0.0,58.59999999999998,11.514285714285714,2.557142857142857,92.6,3.45,35.71,16.17,?,1.3400000333786,0.5,4.94000005722046,0.0700000002980232,2.03999996185303,216.600006103516,8.06999969482422,2361.747,?
November,0.0,16.0,?,?,0.0,9.0,7.0,0.0,0.0,58.59999999999998,11.514285714285714,2.557142857142857,92.6,2.92,35.71,16.35,?,0.870000004768372,0.610000014305115,3.97000002861023,0.430000007152557,2.45000004768372,158.539993286133,8.09000015258789,2361.747,?
June,254.0,73.0,?,?,0.0,0.0,5.0,28.0,0.0,128.99999999999997,16.057142857142857,2.8095238095238093,132.2,0.85,36.67,13.2,7.0,0.819999992847443,0.0900000035762787,0.600000023841858,0.0700000002980232,2.66000008583069,277.790008544922,8.15999984741211,3469.1530000000007,?
June,1645.0,343.0,?,?,0.0,0.0,7.0,94.0,0.0,128.99999999999997,16.057142857142857,2.8095238095238093,132.2,0.82,36.56,13.8,8.0,0.759999990463257,0.100000001490116,1.78999996185303,0.0599999986588955,1.63999998569489,266.170013427734,8.15999984741211,3469.1530000000007,?
June,0.0,10.0,?,?,0.0,0.0,0.0,0.0,0.0,171.99999999999997,18.82857142857143,2.8047619047619046,110.29999999999998,0.82,36.62,18.22,?,1.14999997615814,0.0700000002980232,1.03999996185303,0.0199999995529652,4.26000022888184,228.210006713867,8.14000034332275,3050.3670000000006,?
June,33.0,25.0,?,?,0.0,0.0,2.0,19.0,0.0,171.99999999999997,18.82857142857143,2.8047619047619046,110.29999999999998,0.4,36.24,19.93,?,0.870000004768372,0.0799999982118607,1.92999994754791,0.00999999977648258,3.08999991416931,233.570007324219,8.15999984741211,3050.3670000000006,?
July,0.0,169.0,?,?,0.0,0.0,10.0,95.0,0.0,206.70000000000002,21.438095238095237,3.1476190476190475,98.50000000000001,0.4,36.24,19.93,?,0.870000004768372,0.0799999982118607,1.92999994754791,0.00999999977648258,3.08999991416931,233.570007324219,8.15999984741211,1290.1100000000001,?
July,199.0,243.0,?,?,0.0,0.0,5.0,155.0,0.0,206.70000000000002,21.438095238095237,3.1476190476190475,98.50000000000001,0.82,36.62,18.22,?,1.14999997615814,0.0700000002980232,1.03999996185303,0.0199999995529652,4.26000022888184,228.210006713867,8.14000034332275,1290.1100000000001,?
July,478.0,10.0,?,?,0.0,0.0,0.0,10.0,0.0,250.50000000000003,23.833333333333336,2.8095238095238098,39.800000000000004,0.82,36.62,18.22,?,1.14999997615814,0.0700000002980232,1.03999996185303,0.0199999995529652,4.26000022888184,228.210006713867,8.14000034332275,762.112,?
July,540.0,28.0,?,?,0.0,0.0,2.0,8.0,0.0,250.50000000000003,23.833333333333336,2.8095238095238098,39.800000000000004,0.4,36.24,19.93,?,0.870000004768372,0.0799999982118607,1.92999994754791,0.00999999977648258,3.08999991416931,233.570007324219,8.15999984741211,762.112,?
August,67.0,5.0,?,?,0.0,0.0,0.0,0.0,0.0,222.9,23.704761904761906,2.8095238095238093,25.099999999999998,0.59,34.49,24.6,12.0,2.26999998092651,0.100000001490116,6.57000017166138,0.0299999993294477,5.98999977111816,228.660003662109,8.10999965667725,564.2080000000001,?
August,32.0,5.0,?,?,0.0,0.0,0.0,0.0,0.0,222.9,23.704761904761906,2.8095238095238093,25.099999999999998,0.77,34.74,24.95,9.0,2.53999996185303,0.140000000596046,5.42000007629395,0.0500000007450581,6.96999979019165,248.759994506836,8.11999988555908,564.2080000000001,?
August,64.0,11.0,?,?,2.0,0.0,0.0,2.0,0.0,196.49999999999997,21.7047619047619,2.9095238095238094,33.7,0.94,35.77,23.81,?,1.04999995231628,0.0700000002980232,0.230000004172325,0.0399999991059303,5.75,240.270004272461,8.13000011444092,545.7069999999999,?
September,0.0,34.0,?,?,0.0,21.0,0.0,0.0,0.0,152.1,17.814285714285713,3.4952380952380957,89.20000000000002,0.47,36.43,21.43,8.0,1.17999994754791,0.0799999982118607,0.649999976158142,0.0399999991059303,2.76999998092651,175.509994506836,8.11999988555908,2426.886,poz
September,0.0,169.0,?,?,18.0,20.0,0.0,54.0,0.0,152.1,17.814285714285713,3.4952380952380957,89.20000000000002,0.57,36.49,21.31,14.0,1.02999997138977,0.0799999982118607,0.680000007152557,0.0299999993294477,2.80999994277954,204.539993286133,8.11999988555908,2426.886,poz
October,0.0,138.0,?,?,101.0,26.0,3.0,0.0,3.0,121.4,15.890476190476189,3.4142857142857146,65.8,0.57,36.49,21.31,14.0,1.02999997138977,0.0799999982118607,0.680000007152557,0.0299999993294477,2.80999994277954,204.539993286133,8.11999988555908,4350.5,?
October,0.0,85.0,?,?,61.0,22.0,0.0,0.0,0.0,121.4,15.890476190476189,3.4142857142857146,65.8,0.47,36.43,21.43,8.0,1.17999994754791,0.0799999982118607,0.649999976158142,0.0399999991059303,2.76999998092651,175.509994506836,8.11999988555908,4350.5,?
October,0.0,3.0,?,?,0.0,3.0,0.0,0.0,0.0,135.3,15.195238095238096,2.8666666666666663,15.299999999999999,1.07,36.55,19.98,?,1.16999995708466,0.0900000035762787,0.610000014305115,0.0399999991059303,0.270000010728836,245.179992675781,8.0600004196167,1076.478,neg
October,0.0,3.0,?,?,3.0,0.0,0.0,0.0,0.0,135.3,15.195238095238096,2.8666666666666663,15.299999999999999,1.88,36.71,20.13,?,1.46000003814697,0.140000000596046,1.4099999666214,0.0500000007450581,1.74000000953674,233.130004882813,8.03999996185303,1076.478,neg
November,0.0,7.0,?,?,0.0,0.0,5.0,0.0,2.0,85.4,8.633333333333335,3.2952380952380946,55.5,1.35,37.16,15.97,5.5,1.71000003814697,0.129999995231628,1.70000004768372,0.0599999986588955,5.55999994277954,234.910003662109,8.10999965667725,3180.381,?
November,0.0,2.0,?,?,0.0,0.0,0.0,2.0,0.0,85.4,8.633333333333335,3.2952380952380946,55.5,1.68,37.22,16.31,6.0,1.39999997615814,0.140000000596046,1.33000004291534,0.0599999986588955,5.42999982833862,232.229995727539,8.09000015258789,3180.381,?
May,1098.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,102.69999999999999,15.223809523809523,2.361904761904762,74.69999999999999,?,?,?,?,?,?,?,?,?,?,?,3792.7789999999995,?
May,108.0,4.0,?,?,4.0,0.0,0.0,0.0,0.0,102.69999999999999,15.223809523809523,2.361904761904762,74.69999999999999,?,?,?,?,?,?,?,?,?,?,?,3792.7789999999995,?
June,0.0,30.0,?,?,5.0,0.0,10.0,15.0,0.0,256.20000000000005,20.023809523809526,3.047619047619049,14.5,1.08,35.12,17.72,4.0,0.970000028610229,0.119999997317791,0.129999995231628,0.0799999982118607,1.12999999523163,255.01000213623,8.10000038146973,2122.9090000000006,?
June,3263.0,3292.0,?,?,208.0,0.0,0.0,2876.0,0.0,256.20000000000005,20.023809523809526,3.047619047619049,14.5,2.03,35.41,16.25,4.0,1.02999997138977,0.180000007152557,1.12999999523163,0.100000001490116,1.3400000333786,262.819999694824,8.27000045776367,2122.9090000000006,?
June,0.0,33.0,?,?,4.0,0.0,4.0,25.0,0.0,193.6,20.776190476190475,3.0999999999999996,73.7,0.41,37.22,19.74,?,1.35000002384186,0.00999999977648258,0.529999971389771,0.0799999982118607,2.25,272.429992675781,8.14999961853027,2087.9959999999996,?
June,52.0,62.0,?,?,4.0,0.0,0.0,58.0,0.0,193.6,20.776190476190475,3.0999999999999996,73.7,0.4,37.1,20.94,?,1.44000005722046,0.00999999977648258,0.439999997615814,0.0199999995529652,2.92000007629395,248.309997558594,8.14000034332275,2087.9959999999996,?
July,0.0,36.0,?,?,0.0,0.0,12.0,24.0,0.0,139.3,19.53333333333333,3.338095238095238,119.2,0.41,37.22,19.74,?,1.35000002384186,0.00999999977648258,0.529999971389771,0.0799999982118607,2.25,272.429992675781,8.14999961853027,4681.701999999999,?
July,166.0,65.0,?,?,12.0,0.0,0.0,53.0,0.0,139.3,19.53333333333333,3.338095238095238,119.2,0.4,37.1,20.94,?,1.44000005722046,0.00999999977648258,0.439999997615814,0.0199999995529652,2.92000007629395,248.309997558594,8.14000034332275,4681.701999999999,?
July,74.0,6.0,?,?,0.0,6.0,0.0,0.0,0.0,227.29999999999998,20.428571428571427,2.7238095238095235,30.700000000000003,?,?,?,?,?,?,?,?,?,?,?,3102.211,?
July,0.0,24.0,?,?,20.0,0.0,4.0,0.0,0.0,227.29999999999998,20.428571428571427,2.7238095238095235,30.700000000000003,?,?,?,?,?,?,?,?,?,?,?,3102.211,?
August,0.0,47.0,?,?,43.0,4.0,0.0,0.0,0.0,234.79999999999998,21.719047619047622,2.8857142857142852,13.1,0.09,37.25,22.59,7.5,0.409999996423721,0.0700000002980232,0.439999997615814,0.0900000035762787,1.3400000333786,228.880004882813,8.11999988555908,1033.0130000000001,?
August,56.0,13.0,?,?,13.0,0.0,0.0,0.0,0.0,234.79999999999998,21.719047619047622,2.8857142857142852,13.1,0.45,37.01,21.82,15.0,0.340000003576279,0.0399999991059303,0.639999985694885,0.0599999986588955,1.46000003814697,233.349998474121,8.13000011444092,1033.0130000000001,?
September,0.0,140.0,?,?,131.0,3.0,3.0,0.0,0.0,188.79999999999998,20.538095238095234,2.9476190476190474,21.0,?,?,?,?,?,?,?,?,?,?,?,951.9989999999998,poz
September,42.0,6.0,?,?,6.0,0.0,0.0,0.0,0.0,188.79999999999998,20.538095238095234,2.9476190476190474,21.0,?,?,?,?,?,?,?,?,?,?,?,951.9989999999998,poz
September,0.0,216.0,?,?,92.0,111.0,13.0,0.0,0.0,103.40000000000002,14.771428571428569,2.704761904761905,219.9,0.33,37.39,21.73,?,1.52999997138977,0.0599999986588955,0.629999995231628,0.0299999993294477,2.23000001907349,227.770004272461,8.09000015258789,1364.7350000000001,poz
September,86.0,228.0,?,?,0.0,222.0,6.0,0.0,0.0,103.40000000000002,14.771428571428569,2.704761904761905,219.9,?,37.53,21.68,?,3.0699999332428,0.239999994635582,1.1599999666214,0.170000001788139,6.82999992370605,217.490005493164,8.06999969482422,1364.7350000000001,poz
October,0.0,17.0,?,?,5.0,12.0,0.0,0.0,0.0,92.00000000000001,15.523809523809522,2.7,213.70000000000002,0.86,36.38,19.78,?,0.670000016689301,0.0199999995529652,0.889999985694885,0.0299999993294477,2.05999994277954,216.149993896484,8.02999973297119,2775.772000000001,neg
October,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,92.00000000000001,15.523809523809522,2.7,213.70000000000002,1.87,36.57,20.2,?,0.759999990463257,0.0799999982118607,0.769999980926514,0.0599999986588955,3.36999988555908,213.029998779297,8.05000019073486,2775.772000000001,neg
October,0.0,2.0,?,?,0.0,0.0,2.0,0.0,0.0,93.8,14.92380952380952,2.961904761904762,64.80000000000001,0.86,36.38,19.78,?,0.670000016689301,0.0199999995529652,0.889999985694885,0.0299999993294477,2.05999994277954,216.149993896484,8.02999973297119,3808.311,neg
October,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,93.8,14.92380952380952,2.961904761904762,64.80000000000001,1.87,36.57,20.2,?,0.759999990463257,0.0799999982118607,0.769999980926514,0.0599999986588955,3.36999988555908,213.029998779297,8.05000019073486,3808.311,neg
October,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,0.86,36.01,17.8,7.0,1.00999999046326,0.170000001788139,1.62000000476837,0.109999999403954,3.28999996185303,239.380004882813,8.05000019073486,3485.631,neg
October,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,99.4,13.933333333333332,2.8666666666666667,51.300000000000004,1.89,35.38,17.27,9.0,0.740000009536743,0.119999997317791,4.13000011444092,0.100000001490116,3.21000003814697,240.720001220703,8.06999969482422,3485.631,neg
November,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,63.2,13.266666666666666,3.6333333333333333,68.6,0.86,36.01,17.8,7.0,1.00999999046326,0.170000001788139,1.62000000476837,0.109999999403954,3.28999996185303,239.380004882813,8.05000019073486,5916.319,?
November,0.0,17.0,?,?,2.0,5.0,10.0,0.0,0.0,63.2,13.266666666666666,3.6333333333333333,68.6,1.89,35.38,17.27,9.0,0.740000009536743,0.119999997317791,4.13000011444092,0.100000001490116,3.21000003814697,240.720001220703,8.06999969482422,5916.319,?
April,256.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,185.0,8.576190476190472,4.019047619047619,17.9,?,?,?,?,?,?,?,?,?,?,?,579.7830000000001,?
April,444.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,185.0,8.576190476190472,4.019047619047619,17.9,?,?,?,?,?,?,?,?,?,?,?,579.7830000000001,?
May,263.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,148.7,14.476190476190476,3.4095238095238094,50.199999999999996,1.58,36.0,11.6,?,2.04999995231628,0.230000004172325,4.6100001335144,0.370000004768372,?,?,?,2197.4979999999996,?
May,134.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,148.7,14.476190476190476,3.4095238095238094,50.199999999999996,0.92,35.75,11.6,?,2.67000007629395,0.239999994635582,2.42000007629395,0.159999996423721,?,?,?,2197.4979999999996,?
June,783.0,9.0,1826.0,?,0.0,0.0,9.0,0.0,0.0,182.79999999999995,18.25714285714286,2.466666666666667,18.6,0.65,35.25,16.6,?,1.76999998092651,0.140000000596046,3.70000004768372,0.28999999165535,?,?,?,1449.9779999999996,?
June,414.0,42.0,199.0,?,0.0,0.0,0.0,42.0,0.0,182.79999999999995,18.25714285714286,2.466666666666667,18.6,0.47,35.25,16.3,?,2.0,0.180000007152557,4.59000015258789,0.0900000035762787,?,?,?,1449.9779999999996,?
June,162.0,55.0,200.0,?,0.0,0.0,5.0,50.0,0.0,187.59999999999997,21.52857142857143,2.8333333333333335,54.6,1.34,33.75,23.2,?,3.94000005722046,0.150000005960464,7.05000019073486,0.0299999993294477,?,?,?,1938.8249999999998,?
June,173.0,96.0,2920.0,?,0.0,0.0,0.0,96.0,0.0,187.59999999999997,21.52857142857143,2.8333333333333335,54.6,0.95,34.25,22.4,?,1.70000004768372,0.129999995231628,5.1399998664856,0.0299999993294477,?,?,?,1938.8249999999998,?
July,328.0,18.0,37.0,?,0.0,9.0,9.0,0.0,0.0,189.20000000000002,21.309523809523807,3.2142857142857144,73.8,0.95,34.25,22.4,?,1.70000004768372,0.129999995231628,5.1399998664856,0.0299999993294477,?,?,?,2344.3340000000003,poz
July,0.0,64.0,0.0,?,9.0,46.0,9.0,0.0,0.0,189.20000000000002,21.309523809523807,3.2142857142857144,73.8,1.34,33.75,23.2,?,3.94000005722046,0.150000005960464,7.05000019073486,0.0299999993294477,?,?,?,2344.3340000000003,poz
July,?,26.0,0.0,?,13.0,13.0,0.0,0.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857142,77.19999999999997,0.79,35.0,22.3,?,2.28999996185303,0.0900000035762787,2.02999997138977,0.00999999977648258,?,?,?,1798.795,poz
July,0.0,13.0,0.0,?,0.0,0.0,0.0,13.0,0.0,213.20000000000005,21.41428571428571,3.0142857142857142,77.19999999999997,0.98,35.0,21.8,?,3.27999997138977,0.109999999403954,6.98999977111816,0.119999997317791,?,?,?,1798.795,poz
August,0.0,61.0,4.0,?,12.0,37.0,8.0,4.0,0.0,208.7,21.409523809523815,3.0904761904761906,74.8,0.46,35.14,23.09,8.0,1.07000005245209,0.0700000002980232,1.47000002861023,0.0199999995529652,3.96000003814697,233.130004882813,8.07999992370605,1453.213,?
August,223.0,54.0,4.0,?,25.0,0.0,0.0,29.0,0.0,208.7,21.409523809523815,3.0904761904761906,74.8,0.98,35.13,19.37,?,0.660000026226044,0.00999999977648258,1.85000002384186,0.0199999995529652,3.67000007629395,247.419998168945,8.10000038146973,1453.213,?
August,86.0,240.0,0.0,?,19.0,211.0,5.0,0.0,0.0,197.20000000000002,21.985714285714284,2.7333333333333334,32.199999999999996,1.27,33.75,25.2,?,1.10000002384186,0.0599999986588955,0.46000000834465,0.0399999991059303,?,?,?,737.701,?
August,86.0,96.0,0.0,?,0.0,86.0,10.0,0.0,0.0,197.20000000000002,21.985714285714284,2.7333333333333334,32.199999999999996,1.2,33.75,25.0,?,1.52999997138977,0.119999997317791,1.5900000333786,0.0399999991059303,?,?,?,737.701,?
September,71.0,28.0,0.0,?,23.0,0.0,0.0,5.0,0.0,180.4,21.552380952380954,3.2523809523809524,20.6,0.39,35.0,25.0,?,0.670000016689301,0.200000002980232,0.769999980926514,0.0199999995529652,?,?,?,789.0659999999999,?
September,62.0,32.0,0.0,?,0.0,18.0,14.0,0.0,0.0,180.4,21.552380952380954,3.2523809523809524,20.6,0.63,35.0,25.5,?,0.759999990463257,0.00999999977648258,1.0,0.0700000002980232,?,?,?,789.0659999999999,?
September,0.0,46.0,0.0,?,5.0,36.0,5.0,0.0,0.0,198.6,19.15714285714286,3.357142857142857,37.3,0.45,34.75,25.7,?,1.12999999523163,0.0799999982118607,0.620000004768372,0.0299999993294477,?,?,?,1619.054,?
September,80.0,204.0,0.0,?,84.0,116.0,4.0,0.0,0.0,198.6,19.15714285714286,3.357142857142857,37.3,0.76,34.75,25.8,?,0.800000011920929,0.0900000035762787,0.720000028610229,0.0199999995529652,?,?,?,1619.054,?
October,0.0,77.0,0.0,?,36.0,27.0,9.0,0.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,0.55,35.3,21.9,12.0,1.13999998569489,0.0299999993294477,0.340000003576279,0.0500000007450581,5.07999992370605,204.990005493164,8.0600004196167,858.199,neg
October,82.0,87.0,0.0,?,59.0,23.0,0.0,5.0,0.0,185.20000000000002,16.17142857142857,3.142857142857143,0.0,0.9,35.49,22.13,?,1.12000000476837,0.0900000035762787,0.509999990463257,0.0299999993294477,7.84999990463257,204.990005493164,8.11999988555908,858.199,neg
October,409.0,250.0,0.0,?,145.0,82.0,9.0,9.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,0.5,36.0,21.8,?,5.8600001335144,0.100000001490116,1.37000000476837,0.0299999993294477,?,?,?,877.682,neg
October,259.0,96.0,0.0,?,72.0,14.0,0.0,10.0,0.0,113.7,16.14761904761905,3.080952380952381,11.6,0.97,36.0,20.8,?,5.05000019073486,0.100000001490116,0.819999992847443,0.0199999995529652,?,?,?,877.682,neg
November,166.0,166.0,0.0,?,129.0,23.0,0.0,14.0,0.0,122.79999999999998,9.557142857142857,3.2285714285714278,8.9,2.45,36.0,20.3,?,0.550000011920929,0.100000001490116,0.449999988079071,0.170000001788139,?,?,?,562.265,?
November,264.0,219.0,0.0,?,180.0,24.0,5.0,0.0,0.0,122.79999999999998,9.557142857142857,3.2285714285714278,8.9,1.1,36.0,20.2,?,0.400000005960464,0.00999999977648258,0.589999973773956,0.0399999991059303,?,?,?,562.265,?
November,0.0,177.0,0.0,?,132.0,36.0,0.0,0.0,0.0,60.6,9.771428571428572,2.876190476190476,152.09999999999997,1.12,36.0,16.0,?,2.46000003814697,0.25,1.50999999046326,0.0799999982118607,?,?,?,6563.613000000001,?
November,4.0,27.0,0.0,?,9.0,9.0,0.0,0.0,0.0,60.6,9.771428571428572,2.876190476190476,152.09999999999997,1.52,36.0,15.5,?,1.79999995231628,0.140000000596046,0.300000011920929,0.0900000035762787,?,?,?,6563.613000000001,?
April,485.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,112.19999999999999,11.933333333333334,3.6285714285714286,79.1,1.93,37.05,10.77,7.0,0.939999997615814,0.150000005960464,1.99000000953674,0.0599999986588955,5.09000015258789,281.799987792969,8.07999992370605,4621.801000000001,?
April,331.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,112.19999999999999,11.933333333333334,3.6285714285714286,79.1,0.94,36.9,11.57,8.0,0.810000002384186,0.209999993443489,2.27999997138977,0.0700000002980232,5.51999998092651,278.230010986328,8.0600004196167,4621.801000000001,?
May,85.0,5.0,0.0,?,0.0,0.0,0.0,5.0,0.0,185.89999999999998,14.78095238095238,2.914285714285714,61.900000000000006,1.3,36.32,12.68,6.0,1.37000000476837,0.140000000596046,2.53999996185303,0.100000001490116,7.59999990463257,271.089996337891,8.0600004196167,2793.233,?
May,0.0,5.0,0.0,?,0.0,0.0,0.0,5.0,0.0,185.89999999999998,14.78095238095238,2.914285714285714,61.900000000000006,0.93,35.63,13.8,4.0,1.55999994277954,0.150000005960464,2.79999995231628,0.140000000596046,8.77000045776367,270.640014648438,8.05000019073486,2793.233,?
May,80.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,196.29999999999998,16.928571428571427,2.857142857142857,31.0,3.3199999332428,34.6399993896484,18.3199996948242,?,0.959999978542328,0.170000001788139,2.05999994277954,0.0700000002980232,?,?,?,1594.0480000000002,?
May,86.0,15.0,0.0,?,10.0,0.0,0.0,5.0,0.0,196.29999999999998,16.928571428571427,2.857142857142857,31.0,0.730000019073486,35.7000007629395,18.0900001525879,?,1.25,0.129999995231628,2.0699999332428,0.0799999982118607,?,?,?,1594.0480000000002,?
June,166.0,28.0,0.0,?,5.0,0.0,9.0,14.0,0.0,195.79999999999998,19.599999999999994,2.528571428571429,33.4,0.730000019073486,35.7000007629395,18.0900001525879,?,1.25,0.129999995231628,2.0699999332428,0.0799999982118607,?,?,?,1254.6689999999999,?
June,0.0,14.0,0.0,?,5.0,0.0,9.0,0.0,0.0,195.79999999999998,19.599999999999994,2.528571428571429,33.4,3.3199999332428,34.6399993896484,18.3199996948242,?,0.959999978542328,0.170000001788139,2.05999994277954,0.0700000002980232,?,?,?,1254.6689999999999,?
June,0.0,205.0,0.0,?,129.0,0.0,38.0,38.0,0.0,203.99999999999997,20.43333333333333,2.638095238095238,77.7,1.0900000333786,37.1800003051758,17.7099990844727,?,1.07000005245209,0.0700000002980232,0.349999994039536,0.0900000035762787,?,?,8.18000030517578,1551.8530000000003,?
June,0.0,81.0,0.0,?,24.0,0.0,0.0,57.0,0.0,203.99999999999997,20.43333333333333,2.638095238095238,77.7,0.939999997615814,37.2400016784668,15.9099998474121,?,0.939999997615814,0.0599999986588955,0.419999986886978,0.0500000007450581,?,?,8.19999980926514,1551.8530000000003,?
July,170.0,24.0,0.0,?,5.0,0.0,5.0,14.0,0.0,230.2,22.31428571428571,2.8571428571428577,68.19999999999999,0.430000007152557,36.0900001525879,23.2600002288818,?,0.959999978542328,0.00999999977648258,0.28999999165535,0.0299999993294477,?,?,8.17000007629395,1554.3210000000001,?
July,82.0,50.0,0.0,?,9.0,0.0,9.0,32.0,0.0,230.2,22.31428571428571,2.8571428571428577,68.19999999999999,0.540000021457672,36.1100006103516,23.5200004577637,?,1.25,0.0299999993294477,0.46000000834465,0.109999999403954,?,?,8.11999988555908,1554.3210000000001,?
July,82.0,50.0,0.0,?,9.0,0.0,5.0,36.0,0.0,213.1,21.91428571428571,3.080952380952381,98.89999999999999,0.449999988079071,35.560001373291,24.1499996185303,?,0.319999992847443,0.0700000002980232,1.14999997615814,0.00999999977648258,?,?,8.0600004196167,3285.7570000000005,?
July,81.0,109.0,0.0,?,23.0,0.0,9.0,77.0,0.0,213.1,21.91428571428571,3.080952380952381,98.89999999999999,0.349999994039536,35.2700004577637,24.6900005340576,?,0.639999985694885,0.0900000035762787,2.34999990463257,0.00999999977648258,?,?,8.05000019073486,3285.7570000000005,?
